   4.2728457e-01   7.4463265e-01   5.0195899e-01
   4.6701726e-01   1.0710543e+00   5.6482271e-01
   6.3221404e-01   2.3423887e-01   4.0836300e-01
   4.4214382e-01   4.8471191e-01   5.0867390e-01
   2.1205890e-01   2.1343523e-01   2.7582209e-01
   6.5222915e-02   3.1499545e-01   9.0198505e-02
   2.9741780e-01   1.3360031e-01   1.5797459e-01
   9.2968478e-01   5.7189624e-01   5.4628178e-01
   9.4363659e-02   9.3111038e-01   1.3910633e-01
   5.6979191e-03   6.1210554e-01   1.8573452e-01
   4.2702386e-01   4.1631658e-01   4.2161803e-01
   3.8727674e-01   1.0279567e+00   3.8385677e-01
   8.5965597e-01   3.4860923e-01   6.2137286e-01
   8.5118252e-01   1.6775536e-01   2.9458543e-01
   4.0815420e-01   7.8057397e-01   5.0940903e-01
   7.5969853e-01   6.5972025e-01   4.9653178e-01
   7.8098308e-01   9.9404567e-01   5.9455027e-01
   3.4558054e-01   7.7801635e-01   3.7895623e-01
   6.4750138e-01   4.5065991e-01   4.2074367e-01
   3.4987634e-01   6.2189368e-01   3.5716161e-01
   6.8253570e-02   1.0323905e+00   1.7423036e-01
   2.5454109e-01   4.9418410e-01   3.6491938e-01
   8.4309906e-01   2.8163406e-01   6.1836041e-01
   2.5227074e-01   3.8315095e-01   3.5985911e-01
   2.4353586e-01   3.2465651e-01   1.8311447e-01
   6.7996687e-01   4.8324584e-01   5.4497901e-01
   1.3491208e-01   4.0409277e-01   2.5173211e-01
   6.2500852e-01   3.1704351e-01   3.1924457e-01
   3.2561488e-01   1.3484093e-01   1.7806054e-01
   2.1025220e-01   4.1538316e-01  -1.6617880e-02
